FallingTime(t/s),BalanceVoltage(U/V)
12.67,29.0
21.32,91.0
24.31,105.0
30.25,106.0
15.4,247.0
21.3,136.0
29.1,285.0
29.0,156.0
20.3,206.0
20.3,198.0
22.3,315.0
27.2,333.0
34.0,263.0
11.62,219.3
21.18,63.7
17.24,14.7
24.49,69.7
29.84,150.6
32.62,35.0
9.27,72.0
4.68,126.0
22.68,70.0
18.28,11.0
25.83,202.5
12.44,246.0
35.38,62.67
61.16,58.5
12.39,322.17
16.9,215.0
17.2,217.0
17.1,218.0
16.7,214.0
16.9,224.0
20.3,206.0
17.1,217.0
20.3,223.0
24.6,178.0
18.2,201.0
19.73,274.3
13.35,257.8
11.52,228.2
17.06,240.8
23.21,223.7
20.9,274.3
14.13,257.8
14.23,228.2
18.22,240.8
24.87,223.7
14.45,259.0
23.42,233.3
29.79,318.3
20.45,199.67
29.91,161.5
7.1017,100.0
7.1,100.0
3.945,130.0
3.2117,245.0
3.745,65.0
1.53,153.0
8.75,185.0
30.87,302.0
11.61,147.0
6.28,130.0
5.5,103.0
21.14,98.0
22.8,234.6
26.92,178.8
28.89,325.0
28.51,68.0
22.76,114.4
10.42,40.17
22.7,60.17
33.12,273.67
21.23,140.83
11.95,191.67
33.6,95.0
19.2,239.0
21.22,183.0
29.68,93.0
11.47,293.0
24.34,116.3
21.28,145.8
59.43,63.8
23.94,207.7
25.44,198.0
11.34,144.0
12.33,65.3
29.53,95.3
31.01,145.6
17.67,242.0
23.87,224.2
16.92,258.7
7.26,118.2
6.279999999999999,85.7
6.39,148.5
4.66,193.8
14.2,200.8
30.71,312.25
29.81,159.2
20.58,49.0
25.02,194.3
68.53,99.7
53.54,116.8
9.54,163.67
20.33,147.0
14.58,264.67
3.41,245.0
23.77,157.33
23.77,107.67
27.59,67.0
21.73,254.0
16.72,161.0
27.66,132.0
49.4,14.0
28.5,40.0
12.33,55.0
9.46,65.0
79.0,12.24
30.86,286.0
12.24,79.0
30.880000000000003,286.0
15.9,138.0
10.86,212.0
23.7,86.0
23.68,96.0
18.6,212.0
23.68,86.0
34.45,102.0
21.12,141.0
9.08,35.2
23.15,85.5
48.06,17.5
6.73,32.3
38.9,57.4
32.7,71.92
6.31,159.8
6.12,193.8
25.5,190.0
25.66,36.3
26.12,35.7
21.38,135.5
29.2,285.0
29.05,194.2
24.03,203.0
25.17,156.2
26.91,183.5
6.5,229.7
7.32,337.0
3.85,150.0
11.15,148.0
5.9,193.0
63.86,89.0
13.36,66.17
20.35,64.17
15.14,112.5
12.51,233.3
22.37,253.7
26.67,114.0
26.22,115.0
27.12,115.0
27.05,118.0
26.9,116.0
11.64,70.0
11.67,67.0
11.5,64.0
11.98,68.0
11.54,66.0
4.59,94.0
4.61,94.0
4.58,96.0
4.7,97.0
4.83,94.0
7.47,23.0
7.71,23.0
7.48,22.0
7.82,24.0
7.49,24.0
31.29,28.0
29.82,28.0
31.01,26.0
31.36,26.0
30.63,29.0
5.08,15.0
5.18,15.0
5.24,15.0
5.17,15.0
5.19,15.0
20.61,285.67
27.91,172.0
31.41,285.0
20.89,280.67
21.31,273.17
29.36,60.67
46.33,80.67
13.24,88.0
21.24,145.17
19.43,48.33
27.39,54.33
3.85,208.0
4.05,272.0
2.99,226.0
4.06,266.0
3.82,216.0
2.01,239.0
10.94,50.2
33.34,90.3
27.36,116.2
34.0,251.0
19.69,207.7
11.48,79.3
14.64,153.3
14.9,149.17
25.29,101.67
6.22,31.0
5.17,96.17
3.55,48.0
58.76,27.0
5.92,87.0
21.14,35.0
33.25,24.0
27.64,41.0
16.21,136.0
15.36,144.0
45.27,76.0
56.79,41.6
79.13,38.0
7.61,346.0
29.27,219.0
10.05,322.0
24.99,261.0
10.63,311.0
25.47,213.0
19.21,156.0
